Vertices  Edges  Times
1000  1000  0
1000  2000  99770
1000  4000  99640
1000  8000  199370
1000  16000  299200
1000  32000  698420
1000  64000  1196510
2000  2000  99990
2000  4000  199540
2000  8000  299160
2000  16000  399210
2000  32000  997300
2000  64000  1396050
2000  128000  2489990
2000  256000  4588000
4000  4000  0
4000  8000  399050
4000  16000  598250
4000  32000  897580
4000  64000  1495710
4000  128000  2689710
4000  256000  4886920
4000  512000  9374930
4000  1024000  18251100
8000  8000  103140
8000  16000  901460
8000  32000  1196780
8000  64000  1997740
8000  128000  3288300
8000  256000  6881470
8000  512000  10174690
8000  1024000  19843580
8000  2048000  36906860
8000  4096000  75104450
16000  16000  99690
16000  32000  2398570
16000  64000  3186550
16000  128000  4294120
16000  256000  7081020
16000  512000  11967970
16000  1024000  21239710
16000  2048000  39597440
16000  4096000  75791350
16000  8192000  147807020
16000  16384000  292965180
