Vertices  Edges  Times
1000  1000  0
1000  2000  199240
1000  4000  99790
1000  8000  199290
1000  16000  498700
1000  32000  897660
1000  64000  1795180
2000  2000  0
2000  4000  199250
2000  8000  295480
2000  16000  698130
2000  32000  894230
2000  64000  1791690
2000  128000  2493310
2000  256000  5285720
4000  4000  0
4000  8000  399030
4000  16000  797460
4000  32000  997400
4000  64000  1496010
4000  128000  2792650
4000  256000  5983930
4000  512000  12566350
4000  1024000  22140510
8000  8000  99760
8000  16000  997410
8000  32000  1695490
8000  64000  2992090
8000  128000  3390970
8000  256000  5984010
8000  512000  11668800
8000  1024000  21243340
8000  2048000  43382600
8000  4096000  95693270
16000  16000  199510
16000  32000  99670
16000  64000  3590530
16000  128000  5784490
16000  256000  9674140
16000  512000  15358950
16000  1024000  25232370
16000  2048000  52459730
16000  4096000  95499430
16000  8192000  174034330
16000  16384000  326953530
