Vertices  Edges  Times
1000  1000  0
1000  2000  2892670
1000  4000  3191430
1000  8000  3291310
1000  16000  3390910
1000  32000  3793130
1000  64000  4887830
2000  2000  0
2000  4000  11369670
2000  8000  12267170
2000  16000  12362500
2000  32000  13563620
2000  64000  13367970
2000  128000  16755120
2000  256000  19353720
4000  4000  299190
4000  8000  48968890
4000  16000  48669730
4000  32000  54250140
4000  64000  52191840
4000  128000  52066060
4000  256000  59453730
4000  512000  66727060
4000  1024000  76192380
8000  8000  99690
8000  16000  175231600
8000  32000  205283430
8000  64000  191370280
8000  128000  188495610
8000  256000  192382020
8000  512000  195521910
8000  1024000  209439510
8000  2048000  243942150
8000  4096000  322437240
16000  16000  4288660
16000  32000  708906070
16000  64000  739319170
16000  128000  789399730
16000  256000  835990820
16000  512000  749694980
16000  1024000  762062080
16000  2048000  784328380
16000  4096000  827983270
16000  8192000  943042610
16000  16384000  1207277830
